Name,Type,Sparsity
module.features.16.conv.7.weight,BatchNorm3d,0.2
module.features.17.conv.0.weight,Conv3d,0.2
module.features.17.conv.1.weight,BatchNorm3d,0.2
module.features.17.conv.2.weight,ReLU6,0.2
module.features.17.conv.3.weight,Conv3d,0.2
module.features.17.conv.4.weight,BatchNorm3d,0.2
module.features.17.conv.5.weight,ReLU6,0.2
module.features.17.conv.6.weight,Conv3d,0.2
module.features.17.conv.7.weight,BatchNorm3d,0.2
module.features.18.0.weight,Conv3d,0.2
module.features.18.1.weight,BatchNorm3d,0.2
module.features.18.2.weight,ReLU6,0.2
module.classifier.0.weight,Dropout,0.2
module.classifier.1.weight,Linear,0.2
